device_class,device_name,file_urls,files,firmware_version,release_date,vendor
PLC Adapter,TL-PA7017P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-WPA4226T KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-PA7019 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-PA7019P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-PA7020 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-PA8010P,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-WPA1000 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V2,27-06-2022,TP-Link
PLC Adapter,TL-PA8010P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-WPA7619 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-PA8033P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-PA8030P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-WPA7617 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-WPA1300P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
